iter	Logloss
0	0.6679725822
1	0.6408624536
2	0.616562028
3	0.5911505725
4	0.5717635164
5	0.556776471
6	0.5406301371
7	0.5237754561
8	0.5073209791
9	0.4947750167
10	0.4817556029
11	0.4668524429
12	0.4508642256
13	0.4369566288
14	0.4262216559
15	0.4119484835
16	0.3990996105
17	0.3895992723
18	0.3786576671
19	0.3680517003
20	0.3572504303
21	0.3497121857
22	0.3419221594
23	0.3343740676
24	0.3251158964
25	0.3165858735
26	0.3092209645
27	0.3035095184
28	0.2936752657
29	0.2868946814
30	0.2788507294
31	0.2730864546
32	0.2678992463
33	0.2644314351
34	0.258751641
35	0.2539741916
36	0.250069365
37	0.2437254906
38	0.2370721708
39	0.232352008
40	0.2289401176
41	0.2241374342
42	0.217128783
43	0.2124703265
44	0.2080988835
45	0.2036439964
46	0.1997131337
47	0.194758595
48	0.1927379701
49	0.1881880401
50	0.185537677
51	0.1821971504
52	0.1796372857
53	0.1765785878
54	0.1736514741
55	0.171212923
56	0.1676577981
57	0.163382999
58	0.1607111876
59	0.1589541553
60	0.1554037697
61	0.1532633452
62	0.1497714836
63	0.146517212
64	0.1434056185
65	0.1404627267
66	0.1368434503
67	0.1347132347
68	0.1324683362
69	0.1311524768
70	0.1277254629
71	0.1251516673
72	0.1230539768
73	0.1204276747
74	0.117848361
75	0.1162827214
76	0.1128759266
77	0.1110014069
78	0.1090939104
79	0.106793851
80	0.1046892368
81	0.1036643158
82	0.1015423786
83	0.09967677093
84	0.09849410587
85	0.09659315554
86	0.09495794037
87	0.09291287705
88	0.09147013853
89	0.0891521345
90	0.08735719286
91	0.08516513271
92	0.08377175272
93	0.08202712624
94	0.08047147445
95	0.07891355915
96	0.07684619338
97	0.07566461151
98	0.07392930396
99	0.07218102467
100	0.07010461077
101	0.06854622011
102	0.06657543447
103	0.06494606571
104	0.06374733684
105	0.06212840993
106	0.06123800631
107	0.05995179694
108	0.05882488798
109	0.05761642662
110	0.05647709046
111	0.05491058473
112	0.05374754211
113	0.05224157116
114	0.05143905275
115	0.0504676913
116	0.04916612013
117	0.04791293174
118	0.0473752949
119	0.04648720777
120	0.0457247893
121	0.04487056938
122	0.04399324052
123	0.04278485275
124	0.0419588295
125	0.04132376188
126	0.04033780392
127	0.03932525788
128	0.0386153386
129	0.03803925161
130	0.0374912833
131	0.03679852132
132	0.03632325891
133	0.03589202445
134	0.03529738791
135	0.03471814262
136	0.03400023484
137	0.03327334957
138	0.03262209892
139	0.03212692119
140	0.03156492445
141	0.03100624202
142	0.03058180691
143	0.03002396336
144	0.02935844586
145	0.02888884368
146	0.02840557216
147	0.02794034393
148	0.02757166344
149	0.02716897446
150	0.02681692147
151	0.02649759658
152	0.02609413347
153	0.02566479165
154	0.02535462232
155	0.02498454812
156	0.02463809943
157	0.02429087368
158	0.0239493891
159	0.02377011011
160	0.02344839073
161	0.0231528341
162	0.02286870686
163	0.02259865219
164	0.02231467212
165	0.02201906398
166	0.02173674842
167	0.02147792887
168	0.02105730551
169	0.02077698413
170	0.02044163221
171	0.0201354174
172	0.01987830503
173	0.01963612327
174	0.01941133281
175	0.01918146934
176	0.01898263413
177	0.0187739958
178	0.01856226097
179	0.01835979797
180	0.01818135344
181	0.01799872186
182	0.01777919722
183	0.01760645413
184	0.01744091952
185	0.01728154995
186	0.01712753302
187	0.01696860937
188	0.01682188187
189	0.01667069653
190	0.01653041516
191	0.016386428
192	0.01624695313
193	0.01603677538
194	0.01588609189
195	0.01572482086
196	0.01558225096
197	0.01544480118
198	0.01525856536
199	0.0151175496
200	0.01498225442
201	0.01485154364
202	0.0147083983
203	0.01460709984
204	0.0144416241
205	0.01430920907
206	0.01415303901
207	0.01400470734
208	0.01386391381
209	0.01373851446
210	0.01361671495
211	0.01351165477
212	0.01339640441
213	0.01326252207
214	0.01318687863
215	0.01304957013
216	0.01297719096
217	0.01288245931
218	0.01274916787
219	0.01264832638
220	0.01255794881
221	0.01245170022
222	0.0123294224
223	0.01222795322
224	0.01209538881
225	0.01196693491
226	0.01184225377
227	0.01172087222
228	0.01160327888
229	0.01148867754
230	0.01137649498
231	0.01126762599
232	0.01116484992
233	0.01109208148
234	0.01099253878
235	0.01092148269
236	0.01082322627
237	0.01072955205
238	0.0106639082
239	0.01059755131
240	0.01053465443
241	0.01047096944
242	0.01038251541
243	0.01032235299
244	0.01023492769
245	0.01016827277
246	0.0101087373
247	0.01004447025
248	0.009983173859
249	0.009920611058
250	0.009840133749
251	0.009780050796
252	0.009721114312
253	0.009666410493
254	0.009590483006
255	0.00953469821
256	0.009478752996
257	0.00942601981
258	0.009371950303
259	0.009299908891
260	0.009224718736
261	0.009152748702
262	0.009083459407
263	0.009023205734
264	0.008957836363
265	0.008893557537
266	0.008839307008
267	0.008778775916
268	0.008727336371
269	0.008674311785
270	0.008583363192
271	0.008528416539
272	0.008474232238
273	0.008421490222
274	0.00837802887
275	0.008329394423
276	0.008294833295
277	0.008260818175
278	0.00821928404
279	0.008172108803
280	0.008127453886
281	0.008095274737
282	0.008063317817
283	0.008027406386
284	0.007989605268
285	0.007947976207
286	0.007917889842
287	0.007883492075
288	0.007848075878
289	0.007808241579
290	0.00776647344
291	0.0077383842
292	0.007706078482
293	0.007676571976
294	0.007620414098
295	0.007587600637
296	0.0075328718
297	0.007496844839
298	0.007469804199
299	0.007416608157
300	0.00739076844
301	0.007365086932
302	0.00732816443
303	0.007304641936
304	0.007272232462
305	0.007243361002
306	0.007208620325
307	0.007171692672
308	0.00713827507
309	0.007116044009
310	0.007093651059
311	0.007072027819
312	0.007008397285
313	0.006987347279
314	0.006955633929
315	0.006935087251
316	0.006904755845
317	0.00687085552
318	0.006850819529
319	0.006824675901
320	0.006795412964
321	0.006765037407
322	0.006736136513
323	0.006717112329
324	0.006666010545
325	0.006615846245
326	0.006566796038
327	0.006520237452
328	0.006475124094
329	0.006431076998
330	0.006388296316
331	0.006346652537
332	0.006306750539
333	0.006276169309
334	0.006239488905
335	0.006203127864
336	0.00617348044
337	0.006144785587
338	0.006108884458
339	0.006069602422
340	0.006044378987
341	0.006017560944
342	0.00600403952
343	0.005959614192
344	0.005912894084
345	0.005870944188
346	0.005827364362
347	0.005787506148
348	0.005746969838
349	0.005711936656
350	0.005693242874
351	0.005659869792
352	0.005643243407
353	0.005627143898
354	0.005611163599
355	0.005592801689
356	0.005568959831
357	0.005557670269
358	0.005536530857
359	0.005515461351
360	0.005495262367
361	0.005474994948
362	0.005455044317
363	0.005435596278
364	0.00541628658
365	0.005396870919
366	0.005378002738
367	0.005359425957
368	0.005341147199
369	0.005322877272
370	0.005305311194
371	0.005287598313
372	0.005269992867
373	0.005252925334
374	0.005236006077
375	0.005219201983
376	0.005202476993
377	0.005186430466
378	0.005170440968
379	0.00515409789
380	0.005138655504
381	0.00512294784
382	0.005107392499
383	0.005092380959
384	0.005077181407
385	0.005062539268
386	0.00504823489
387	0.005033750961
388	0.005019249739
389	0.00500525111
390	0.004991903717
391	0.004978082798
392	0.004964334729
393	0.004950754436
394	0.00493786254
395	0.004924758717
396	0.004911725168
397	0.004898712959
398	0.004886160294
399	0.004873444269
400	0.004860804405
401	0.004848266825
402	0.004836015495
403	0.004823366801
404	0.004811054395
405	0.004795283815
406	0.004779528689
407	0.004764463431
408	0.004744975655
409	0.004733459449
410	0.004718235245
411	0.004698093291
412	0.004686731247
413	0.004666999166
414	0.00465221979
415	0.004632892432
416	0.004618989833
417	0.004600670971
418	0.004589586714
419	0.004570555908
420	0.004556292737
421	0.004537709701
422	0.004527180283
423	0.004508578115
424	0.004495525434
425	0.00447824487
426	0.004465027724
427	0.004454426559
428	0.004437035984
429	0.004419435689
430	0.004402208475
431	0.004392212188
432	0.004379410067
433	0.00436225791
434	0.004345777962
435	0.0043336337
436	0.004317238375
437	0.00430771267
438	0.004295314536
439	0.004279538805
440	0.004263476825
441	0.004252118093
442	0.00423780378
443	0.004228503616
444	0.004216415647
445	0.004207664802
446	0.004191561981
447	0.004175257536
448	0.004163314531
449	0.004145137322
450	0.004136392364
451	0.004125736378
452	0.004109838862
453	0.004094131567
454	0.004079057111
455	0.004065504781
456	0.004051055805
457	0.004038160598
458	0.004023643923
459	0.004010896624
460	0.004002996065
461	0.003988666667
462	0.003976439988
463	0.00396262606
464	0.003950605422
465	0.003937155376
466	0.003925377204
467	0.003913784101
468	0.003906022251
469	0.003892728576
470	0.003879308701
471	0.003866304218
472	0.003854999572
473	0.003842088543
474	0.003832480054
475	0.00382023829
476	0.003808030376
477	0.003798667295
478	0.003786593308
479	0.003777406834
480	0.003768762689
481	0.003760322377
482	0.003751690373
483	0.003744335822
484	0.003732951703
485	0.00372277329
486	0.003714509952
487	0.003705919525
488	0.00369743874
489	0.003689371877
490	0.00368276312
491	0.003674588822
492	0.00366776225
493	0.00365933224
494	0.003651734488
495	0.003644702611
496	0.003637183964
497	0.00362609382
498	0.003618602399
499	0.003611934038
