model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
svc_rbf,0.7902777777777777,0.1081551240773988,0.8190972222222221,0.10317467471761865,0.7775210084033615,0.1105816579995989
random_forest,0.763888888888889,0.12736951686789305,0.8333333333333334,0.07746246851074252,0.7695238095238096,0.11552551720168387
xgboost,0.7527777777777778,0.0770301367992336,0.8168402777777779,0.04509880699059909,0.7368853695324283,0.07744142775363898
adaboost,0.7277777777777777,0.09626513028424141,0.8159722222222221,0.10538065736903934,0.7435294117647059,0.08753447170700364
catboost,0.7277777777777777,0.10067289041344513,0.8236111111111111,0.07045788296283773,0.7297619047619048,0.08602457066076886
gradient_boosting,0.7166666666666666,0.08079466429027217,0.8072916666666667,0.08564501996289363,0.7183333333333334,0.07078920193865103
knn,0.701388888888889,0.07388575599039103,0.7635416666666666,0.08039075575656142,0.6754761904761905,0.07805602964648112
lightgbm,0.6902777777777778,0.09050185865358283,0.7708333333333333,0.052394901416497046,0.7016666666666665,0.06377042156569665
logreg_l2,0.6777777777777778,0.10959028635877145,0.7947916666666666,0.09436143206369385,0.6816239316239316,0.09677965621526224
decision_tree,0.6666666666666666,0.13372338779901008,0.6928819444444445,0.09935107251342533,0.6820175438596491,0.10768414764508004
linear_svc_cal,0.6652777777777777,0.11131924949729932,0.7704861111111111,0.09808889502466879,0.6467521367521367,0.12422764528485869
mlp,0.6652777777777777,0.09626513028424141,0.7395833333333333,0.1150086802279627,0.6777777777777778,0.09354985143737884
