model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
catboost,0.763888888888889,0.07270140182390222,0.8225694444444445,0.06624031783430785,0.7549874686716793,0.06670577555266362
random_forest,0.7527777777777778,0.1030589247727175,0.7996527777777778,0.04906288088630952,0.753095238095238,0.09321542601017552
xgboost,0.7527777777777778,0.05299662230094143,0.8085069444444445,0.029532265520784605,0.7342296918767508,0.06607187055914655
gradient_boosting,0.7277777777777777,0.1081551240773988,0.7861111111111111,0.07392980018191765,0.7244110275689223,0.08788407009419001
svc_rbf,0.726388888888889,0.08523297773647921,0.7850694444444445,0.0672159805412631,0.7127630539395244,0.0677160500048435
decision_tree,0.7166666666666666,0.07046472718869899,0.7085069444444445,0.08259292022128174,0.6998313090418353,0.0855448864149088
mlp,0.7138888888888889,0.06460946305340559,0.7701388888888888,0.0946433770908482,0.7157509157509157,0.04429660500463291
logreg_l2,0.7138888888888889,0.08543642499572054,0.778125,0.09447635286144358,0.7095884507649213,0.06490750304962849
linear_svc_cal,0.6888888888888889,0.08127077132404328,0.7635416666666666,0.09874428605128388,0.6761818573583279,0.08695580033577732
knn,0.6777777777777778,0.06869035010487912,0.7289930555555555,0.06834061967137774,0.6268315018315018,0.08734650944273785
lightgbm,0.6777777777777778,0.10799448431274307,0.7694444444444445,0.04472836828023514,0.678939393939394,0.06273605559944227
adaboost,0.6527777777777778,0.10272145603944774,0.7854166666666667,0.10660683543333943,0.672463768115942,0.09202042639645881
