log10C,log10gamma,t,C,gamma,bal_acc_mean,bal_acc_std,crowding
-0.03172326297844791,-3.2567303672462953,0.2251149083009732,0.9295585225909221,0.0005536937646051329,0.8363440860215053,0.05386399199357246,inf
-0.038853087810706066,-3.2477506356031034,0.22564401142762608,0.914422518009856,0.0005652614450178142,0.8331182795698924,0.05114211810878153,0.1446147299004989
-0.18856346429207682,-3.0274535773222175,0.2353475568794428,0.6477934250464722,0.0009387423755150051,0.8264516129032258,0.04901433364130176,0.13432263045590614
-0.3659206178516803,-2.7188278700822552,0.250315116518033,0.4306053111252471,0.0019106103670587695,0.8264516129032258,0.04901433364130176,0.07175721626320974
-0.20115065850417202,-2.9631920055444914,0.2419080959558152,0.6292878425018374,0.001088448773830694,0.8264516129032258,0.04901433364130176,0.0
-0.2928490364851426,-2.8112076009734013,0.24825041616164029,0.5095079484714035,0.001544515955219533,0.8264516129032258,0.04901433364130176,0.0
0.16855765695252112,-3.337496404761808,0.21811709062950657,1.4742042433962046,0.0004597307943238015,0.8262365591397849,0.04308783415525784,0.13432263045590614
0.2840215847856932,-3.470859879975296,0.21964452527893158,1.9231873104938813,0.0003381739264607016,0.8262365591397849,0.04308783415525784,0.040800741836402366
0.5591318621763174,-3.719744885759914,0.2171036410136506,3.623530007407519,0.00019065803567964854,0.8262365591397849,0.04308783415525784,0.0
0.18314021011741183,-3.335323736712206,0.2182642208743881,1.5245448671494901,0.00046203647653385305,0.8262365591397849,0.04308783415525784,0.0
0.23137576276039679,-3.425463305112441,0.21818784418760667,1.7036318970489304,0.00037543667494091077,0.8262365591397849,0.04308783415525784,0.0
0.24843231163694385,-3.453559511310657,0.2180750585455648,1.7718718628259713,0.0003519171960576328,0.8262365591397849,0.04308783415525784,0.0
0.31794446166606144,-3.4755822585847014,0.21946425424737254,2.079430748877742,0.00033451665192624756,0.8262365591397849,0.04308783415525784,0.0
-0.3517581865757955,-2.7084665657657956,0.26494568181600286,0.4448789053095029,0.001956741402204636,0.82,0.042265587992070024,0.07140818612472921
-0.3537837437416991,-2.6740142438097343,0.2640793791932265,0.4428088134303029,0.002118291659260636,0.82,0.042265587992070024,0.040800741836402366
-0.3035300470328012,-2.7065896645001106,0.26371181376438757,0.49712997817540455,0.0019652161998786775,0.82,0.042265587992070024,0.0
