iter,best_bal_acc_mean
0,0.8127956989247312
1,0.8127956989247312
2,0.8127956989247312
3,0.8127956989247312
4,0.8135483870967741
5,0.8135483870967741
6,0.8135483870967741
7,0.8135483870967741
8,0.8196774193548386
9,0.8196774193548386
10,0.8196774193548386
11,0.8196774193548386
12,0.8196774193548386
13,0.8211290322580644
14,0.8211290322580644
15,0.8211290322580644
16,0.8211290322580644
17,0.8229032258064516
18,0.8229032258064516
19,0.8229032258064516
20,0.8229032258064516
21,0.8229032258064516
22,0.8229032258064516
23,0.8229032258064516
24,0.8229032258064516
25,0.8229032258064516
